Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
Aviva,6.12,0.35,2.86,0.71,55.16,3.87,11.46
CRH,18.14,0.96,14.22,1.44,98.7,2.41,44.22
